"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Tecoma capensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Terminalia catappa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Combretaceae";"Terrestrial";
"Thevetia peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Trachycarpus fortunei";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Tradescantia fluminensis";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Tradescantia spathacea";"Plantae";"Magnoliophyta";"Liliopsida";"Commelinales";"Commelinaceae";"Terrestrial";
"Trapa natans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Trapaceae";"Terrestrial";
"Trifolium dubium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Trifolium repens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Typha latifolia";"Plantae";"Magnoliophyta";"Liliopsida";"Typhales";"Typhaceae";"Terrestrial";
"Ulex europaeus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Urochloa maxima";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Urochloa mutica";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Vallisneria nana";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Verbascum thapsus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Verbena brasiliensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Verbena rigida";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Vinca major";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Vitex rotundifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Vulpia bromoides";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Waterhousea floribunda";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Xanthium spinosum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ziziphus mauritiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
